CustomerID,Pais Principal,Paises Distintos,Permanencia,Compras,Canasta_Prom,Ticket_Prom,Precio_Prom,Precio_Max,Productos Distintos,Pct_Devoluciones
12347.0,Iceland,1,403.0,8,370.875,615.19125,1.6587563195146613,12.75,126,0.0
12348.0,Finland,1,364.0,5,542.8,403.88,0.7440677966101695,40.0,25,0.0
12349.0,Italy,1,572.0,4,406.0,1107.1725,2.7270258620689654,300.0,138,0.25
12350.0,Norway,1,1.0,1,197.0,334.4,1.69746192893401,40.0,17,0.0
12351.0,Unspecified,1,1.0,1,261.0,300.93,1.1529885057471265,12.75,21,0.0
12352.0,Norway,1,357.0,10,72.4,284.98400000000004,3.936243093922652,376.5,70,0.3
12353.0,Bahrain,1,205.0,2,106.0,203.38,1.9186792452830188,9.95,23,0.0
12354.0,Spain,1,1.0,1,530.0,1079.4,2.036603773584906,16.95,58,0.0
12355.0,Bahrain,1,354.0,2,271.5,473.805,1.7451381215469612,12.75,35,0.0
12356.0,Portugal,1,403.0,6,569.5,1062.28,1.8652853380158034,28.0,104,0.0
12357.0,Switzerland,1,356.0,3,2195.6666666666665,6095.886666666666,2.7763260968574466,850.0,261,0.0
12358.0,Austria,1,731.0,5,215.8,777.414,3.602474513438369,40.0,56,0.0
12359.0,Cyprus,1,678.0,10,275.2,893.594,3.247071220930233,145.0,305,0.4
12360.0,Austria,1,604.0,8,307.375,531.61125,1.729520130134201,40.0,160,0.125
12361.0,Belgium,1,396.0,4,58.75,127.8125,2.175531914893617,15.0,18,0.0
12362.0,Belgium,1,736.0,11,202.72727272727272,486.92999999999995,2.4018968609865468,130.0,201,0.2727272727272727
12363.0,Unspecified,1,134.0,2,204.0,276.0,1.3529411764705883,7.95,23,0.0
12364.0,Belgium,1,106.0,4,376.5,328.275,0.8719123505976095,15.0,70,0.0
12365.0,Cyprus,1,1.0,2,87.0,320.69,3.6860919540229884,320.69,22,0.5
12366.0,Cyprus,1,1.0,1,296.0,500.24,1.69,1.69,3,0.0
12367.0,Denmark,1,1.0,1,173.0,168.9,0.9763005780346821,18.0,11,0.0
12368.0,Cyprus,1,1.0,1,330.0,917.6999999999999,2.7809090909090908,14.95,18,0.0
12369.0,Austria,1,229.0,3,413.6666666666667,597.0500000000001,1.4433118452860596,40.0,90,0.0
